Articles,N,org_order,synthesized,source,presentation,explicitness_instruction,feedback_re2_ana,learn_mode,NRecorder,context_variability_re,n_rep,modality_re,training_duration,trial_number,consolidation,es,se,vi
"Asaridou,2016",40,1,1,1,1,0,1,1,2,2,0,1,420,288,1,2.183129,0.2834977,0.080370946
"Callan,2005",11,2,1,1,0,0,1,1,NA,0,0,1,NA,100,1,1.481303,0.485492,0.235702482
"Deng,2011",12,4,1,1,0,0,1,1,1,2,0,1,288,550,6,1.272934,0.4504203,0.202878447
"Feng,2021",30,5,1,0,1,0,1,1,2,1,0,1,102,864,1,1.414812,0.289,0.083521
"Golestani,2004",10,6,0,0,1,0,1,1,1,1,0,1,300,162,4,1.564384,0.5164301,0.266700048
"Jiang, 2018",28,8,0,0,1,0,1,1,2,0,0,0,360,NA,1,0.2186361,1.414,1.999396
"Kronke, 2013",11,9,1,1,1,1,1,1,1,2,0,1,168,900,2,3.771,0.728,0.529984
"Liebenthal,2010",25,11,0,1,1,0,1,1,1,1,0,0,240,256,4,1.127435,0.305,0.093025
"Lim, 2019",27,12,0,0,1,0,1,1,1,NA,0,1,420,NA,1,3.457388,0.433,0.187489
"Luthra,2019",18,13,1,1,1,0,0,1,1,1,0,0,60,600,3,2.054626,0.415,0.172225
"Newman-Norlund, 2006",20,14,1,1,1,1,2,1,1,2,0,0,NA,NA,4,4.521588,0.625,0.390625
"Palomar-Garcia, 2017",35,15,1,1,0,0,1,1,1,2,0,1,360,NA,6,3.067551,0.355,0.126025
"Puschmann,2013",39,17,0,0,1,1,1,1,1,0,1,1,NA,160,1,0.6586682,0.232,0.053824
"Simmonds,2014",21,20,1,1,0,1,2,1,2,1,0,1,360,NA,7,3.026325,0.456,0.207936
"Takashima, 2014",21,21,1,1,1,1,1,1,NA,2,0,1,75,1656,1,1.585212,0.355,0.126025
"Takashima, 2017",46,22,1,1,1,1,1,1,1,2,0,1,NA,960,2,0.7984182,0.216,0.046656
"Weis, 2018",30,24,1,1,1,0,1,1,1,0,0,1,NA,176,1,0.6571856,0.265,0.070225
"Wong, 2007",17,25,1,1,1,0,1,1,1,1,0,1,NA,720,1,1.078965,0.368,0.135424
"Yoo, 2007",24,26,0,0,1,0,1,1,NA,0,0,0,NA,NA,13,2.017891,0.356,0.126736
"Zatorre, 2012",20,27,0,0,1,0,1,1,1,0,0,0,720,NA,6,0.8902495,0.332,0.110224
"Fisher, 2012",12,28,NA,1,1,0,0,0,NA,0,0,0,60,NA,1,0.1284505,0.408,0.166464
"Majerus, 2005",12,30,1,1,1,1,2,1,1,NA,0,1,8,120,1,2.609875,0.564,0.318096
"Ventura-campos, 2013",19,31,0,0,1,1,1,1,2,1,0,1,360,200,6,1.371365,0.362,0.131044
"Alotaibi, 2023",20,32,1,1,0,1,1,1,12,1,0,1,180,NA,2,2.409203,0.4189563,0.175524381
"Malinovitch, 2022",28,35,NA,0,0,0,1,1,NA,NA,NA,1,1600,NA,40,0.302,0.268,0.071824
"Van der Linden, 2011",16,37,NA,0,0,0,1,1,NA,0,0,1,270,2700,3,2.934506,0.516,0.266256
"Caruso, 2015",24,38,0,0,1,0,1,1,1,0,0,1,NA,270,13,0.8518283,0.3019037,0.091145844
"Chandrasekaran, 2016",20,39,0,1,1,1,1,1,4,1,NA,1,NA,NA,1,2.56781228,0.4310406,0.185795999
"Yi&Chandrasekaran, 2016",19,40,0,0,1,0,1,1,4,1,NA,1,NA,NA,1,1.61598625,0.37564906,0.141112216
"Ley, 2012",8,41,1,0,1,0,1,1,1,0,0,1,60,324,2,2.63627586,0.70211733,0.492968745
"Obasih, 2023, Exp1",59,42,1,1,1,0,1,1,4,2,1,1,40,480,1,0.99014692,0.1952098,0.038106866
"Obasih, 2023, Exp2",59,43,1,1,1,0,1,1,4,2,0,1,40,480,1,1.02267933,0.19592846,0.038387961
"Obasih, 2023, Exp3",60,44,1,1,0,0,1,1,4,2,1,1,40,480,1,0.78002637,0.18947589,0.035901113
"Obasih, 2023, Exp4",58,45,1,1,0,0,1,1,4,2,1,1,40,480,1,0.57373142,0.18952699,0.03592048
"Obasih, 2023, Exp5",60,46,1,1,0,1,1,1,4,2,1,1,40,480,1,1.07341232,0.1954379,0.038195973
"Reetzke, 2016",19,47,0,0,1,0,1,1,1,0,1,1,60,600,1,0.001905819,0.3244429,0.105263195
"Roark, 2022",81,48,0,0,1,0,1,1,1,0,0,1,NA,384,1,0.45677598,0.15918986,0.025341412
"Roark, 2021",30,49,0,0,1,0,1,1,1,0,0,1,NA,300,1,0.42871675,0.26122574,0.068238887
"Scharinger, 2013",39,50,0,0,1,0,1,1,1,0,1,1,20,388,1,0.32414137,0.22796732,0.051969099
"Smith, 2014, Exp1",64,51,0,0,1,0,1,1,1,0,1,1,90,400,1,0.66635625,0.1816738,0.03300537
"Smith, 2014, Exp2",84,52,0,0,1,0,1,1,1,0,1,1,55,300,1,0.65386013,0.1584094,0.025093538
"Van Hedger, 2015",17,53,0,0,1,0,0,1,1,0,0,1,NA,180,1,1.39923938,0.38451177,0.147849301
"Wu, 2020",151,54,0,0,1,0,1,1,1,0,0,1,NA,160,1,0.80441334,0.11967347,0.014321739
"Yang, 2014",41,55,0,0,1,0,1,1,1,0,0,1,NA,200,1,0.79126752,0.2295017,0.05267103
"Bittrich, 2015",20,56,0,0,0,0,1,1,1,0,0,1,NA,2400,10,1.81602436,0.3780377,0.142912503
"Carcagno, 2011",36,57,0,0,1,0,1,1,1,0,0,1,640,NA,8,1.14394902,0.25464057,0.06484182
"Choi, 2023",44,59,1,1,1,0,1,1,2,1,0,1,210,NA,3,0.64656379,0.21879648,0.0478719
"Cooper, 2013",32,60,1,1,1,0,1,1,2,2,0,1,90,900,7,1.98230377,0.3065273,0.093958986
"Dobel, 2009",15,61,1,1,1,0,0,1,3,2,0,1,240,3840,5,2.87205625,0.52778363,0.27855556
"Ghaffarvand Mokari, 2018",38,62,1,1,1,0,1,1,5,2,0,1,263,1125,5,1.37886137,0.25573072,0.065398201
"Ghaffarvand Mokar, 2019",40,63,1,1,1,0,1,1,5,2,NA,1,263,1125,5,1.9399,0.2719936,0.073980518
"Grenon, 2019",23,64,1,1,1,0,1,1,6,2,NA,1,300,NA,6,2.38294943,0.38839498,0.15085066
"Heeren, 2008",28,65,1,1,1,1,1,1,5,1,0,1,NA,1625,NA,0.8433024,0.2792117,0.077959173
"Iverson, 2009",33,66,1,1,1,0,1,1,5,1,1,1,225,1125,1,2.50124298,0.33035863,0.109136824
"Kaan, 2007",31,67,1,1,1,1,1,1,1,1,1,1,69,800,2,0.51155804,0.25822576,0.066680543
"Kartushina, 2019",30,68,1,1,1,1,2,1,6,1,0,1,68,900,1,1.00008658,0.2742667,0.075222223
"Brosseau-Lapré, 2013",70,69,1,1,1,0,1,1,6,1,0,1,60,480,1,1.19701314,0.18369784,0.033744896
"Li, 2007",16,70,1,1,1,0,1,1,10,1,0,1,60,NA,5,2.20227566,0.45249525,0.204751951
